Designator,Mid X,Mid Y,Layer,Rotation
R124,106.6000,-150.5000,top,90.0000
R125,78.3500,-80.9500,top,0.0000
R127,70.8400,-98.1000,top,0.0000
R128,80.6500,-99.2000,top,-90.0000
R129,79.0500,-99.2000,top,-90.0000
R130,77.4500,-99.2000,top,-90.0000
R142,100.5000,-150.5000,top,180.0000
R143,86.2500,-150.2500,top,0.0000
R144,100.5000,-146.1000,top,180.0000
R145,110.0000,-141.2000,top,0.0000
R146,109.9000,-138.2750,top,0.0000
R147,91.8000,-78.4000,top,180.0000
R148,47.6000,-116.4500,top,180.0000
R156,102.2000,-102.9500,top,-90.0000
R157,90.6500,-102.8000,top,-90.0000
R161,71.0350,-66.5650,top,90.0000
R162,73.3350,-66.1650,top,0.0000
R163,72.2350,-58.4650,top,180.0000
R164,67.0000,-77.9000,top,0.0000
R165,67.0000,-76.3000,top,0.0000
R166,78.3500,-82.0000,top,0.0000
R167,75.6500,-102.3000,top,0.0000
R168,73.8500,-97.6500,top,90.0000
R171,75.1500,-97.6500,top,-90.0000
R172,75.6500,-101.0000,top,180.0000
R173,70.9000,-96.9500,top,180.0000
R174,102.7000,-132.3000,top,0.0000
R175,62.2000,-78.6000,top,0.0000
R176,62.2000,-80.3000,top,0.0000
R177,62.2000,-71.4000,top,0.0000
R178,62.2000,-69.7000,top,0.0000
R184,45.7000,-108.0000,top,-90.0000
R185,45.7000,-101.6500,top,-90.0000
R193,91.4000,-73.3500,top,180.0000
R195,95.6000,-134.6000,top,0.0000
SW1,114.3500,-75.8500,top,0.0000
U1,87.8000,-90.5000,top,-135.0000
U2,68.9500,-85.0000,top,-90.0000
U4,93.9000,-140.4000,top,90.0000
U10,102.7000,-138.4750,top,180.0000
U11,105.7000,-60.4500,top,180.0000
U12,89.9000,-57.4000,top,0.0000
U24,54.5000,-98.0000,top,180.0000
U27,56.3500,-132.7000,top,180.0000
U28,52.9500,-125.0000,top,180.0000
U29,96.8000,-124.3500,top,-90.0000
U30,81.8000,-123.9000,top,-90.0000
U31,65.8250,-123.5000,top,-90.0000
Y1,98.0000,-79.6000,top,-45.0000
## End,,,,
